tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
138,43:07.9,45:26.4,3481,York St,40.71649,-74.04105,3185,City Hall,40.7177325,-74.043845,48923,Subscriber,1980,2
211,45:38.0,49:09.4,3273,Manila & 1st,40.72165072,-74.04288411,3205,JC Medical Center,40.71653978,-74.04963791,47255,Customer,1969,0
713,39:47.6,51:41.2,3203,Hamilton Park,40.72759597,-74.04424731,3681,Grand St,40.71517768,-74.03768331,44358,Subscriber,1990,1
1356,54:11.2,16:47.7,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,47255,Customer,1988,1
565,15:24.9,24:50.0,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,44762,Subscriber,1994,2
1274,19:54.3,41:08.7,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,45354,Customer,1969,0
552,36:34.5,45:47.2,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,44376,Subscriber,1991,1
437,12:30.6,19:48.5,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,45354,Customer,1969,0
403,25:33.0,32:16.6,3213,Van Vorst Park,40.71848892,-74.04772663,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44452,Subscriber,1979,1
233,31:04.8,34:58.3,3185,City Hall,40.7177325,-74.043845,3483,Montgomery St,40.71942,-74.05099,46532,Subscriber,1987,1
576,31:56.9,41:33.2,3639,Harborside,40.7192517,-74.034234,3203,Hamilton Park,40.72759597,-74.04424731,44664,Subscriber,1991,1
387,34:15.9,40:43.5,3185,City Hall,40.7177325,-74.043845,3270,Jersey & 6th St,40.72528911,-74.04557168,42575,Subscriber,1959,1
773,39:44.2,52:37.3,3191,Union St,40.7182113,-74.0836394,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42526,Subscriber,1988,1
484,09:06.1,17:10.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3185,City Hall,40.7177325,-74.043845,42526,Subscriber,1985,2
360,19:12.4,25:13.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3213,Van Vorst Park,40.71848892,-74.04772663,42112,Subscriber,1979,1
317,19:49.6,25:06.9,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,40285,Subscriber,1991,1
1329,24:33.1,46:42.8,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,43352,Customer,1969,0
